THÔNG TIN SP,,,,,,,,PHÂN LOẠI,GIÁ SX,TỒN KHO,,
PO88,PO88-XD-M,PO88,XANH DƯƠNG,M,,,,SẢN PHẨM CHỦ LỰC,1,0,0 đ,
PO88,PO88-XD-L,PO88,XANH DƯƠNG,L,,,,SẢN PHẨM CHỦ LỰC,1,0,0 đ,
PO88,PO88-XD-XL,PO88,XANH DƯƠNG,XL,,,,SẢN PHẨM CHỦ LỰC,1,0,0 đ,
PO88,PO88-XD-XXL,PO88,XANH DƯƠNG,XXL,,,,SẢN PHẨM CHỦ LỰC,1,0,0 đ,
PO88,PO88-XANHDEN-M,PO88,XANH ĐEN,M,,,,SẢN PHẨM CHỦ LỰC,0,544,"58,208,000 đ",
PO88,PO88-XANHDEN-L,PO88,XANH ĐEN,L,,,,SẢN PHẨM CHỦ LỰC,0,422,"45,154,000 đ",
PO88,PO88-XANHDEN-XL,PO88,XANH ĐEN,XL,,,,SẢN PHẨM CHỦ LỰC,0,166,"17,762,000 đ",
PO88,PO88-XANHDEN-XXL,PO88,XANH ĐEN,XXL,,,,SẢN PHẨM CHỦ LỰC,1,97,"10,379,000 đ",
PO88,PO88-REU-M,PO88,RÊU,M,,,,SẢN PHẨM CHỦ LỰC,1,0,0 đ,
PO88,PO88-REU-L,PO88,RÊU,L,,,,SẢN PHẨM CHỦ LỰC,1,0,0 đ,
PO88,PO88-REU-XL,PO88,RÊU,XL,,,,SẢN PHẨM CHỦ LỰC,1,0,0 đ,
PO88,PO88-REU-XXL,PO88,RÊU,XXL,,,,SẢN PHẨM CHỦ LỰC,1,0,0 đ,
PO88,PO88-NAU-M,PO88,NÂU,M,,,,SẢN PHẨM CHỦ LỰC,1,0,0 đ,
PO88,PO88-NAU-L,PO88,NÂU,L,,,,SẢN PHẨM CHỦ LỰC,1,0,0 đ,
PO88,PO88-NAU-XL,PO88,NÂU,XL,,,,SẢN PHẨM CHỦ LỰC,1,0,0 đ,
PO88,PO88-NAU-XXL,PO88,NÂU,XXL,,,,SẢN PHẨM CHỦ LỰC,1,0,0 đ,
PO88,PO88-XAM-M,PO88,XÁM,M,,,,SẢN PHẨM CHỦ LỰC,1,0,0 đ,
PO88,PO88-XAM-L,PO88,XÁM,L,,,,SẢN PHẨM CHỦ LỰC,1,0,0 đ,
PO88,PO88-XAM-XL,PO88,XÁM,XL,,,,SẢN PHẨM CHỦ LỰC,1,0,0 đ,
